Driver,Team,LapNumber,LapTime,Compound,Stint,TrackStatus,IsAccurate,LapTimeSeconds,Year,Track,Session,AirTempC,TrackTempC,Rainfall,TyreAgeLaps,SessionProgress,LapTimeFormatted
LEC,Ferrari,2.0,0 days 00:01:20.074000,SOFT,1.0,1,True,80.074,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.074
LEC,Ferrari,5.0,0 days 00:01:20.278000,SOFT,2.0,1,True,80.278,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.278
LEC,Ferrari,8.0,0 days 00:01:20.296000,SOFT,3.0,1,True,80.296,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:20.296
LEC,Ferrari,11.0,0 days 00:01:20.007000,SOFT,4.0,1,True,80.007,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:20.007
LEC,Ferrari,14.0,0 days 00:01:20.076000,SOFT,5.0,1,True,80.076,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:20.076
LEC,Ferrari,17.0,0 days 00:01:19.704000,SOFT,6.0,1,True,79.704,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:19.704
LEC,Ferrari,20.0,0 days 00:01:19.461000,SOFT,7.0,1,True,79.461,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:19.461
MAG,Haas F1 Team,2.0,0 days 00:01:20.856000,SOFT,1.0,1,True,80.856,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.856
MAG,Haas F1 Team,7.0,0 days 00:01:20.698000,SOFT,3.0,1,True,80.698,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:20.698
MAG,Haas F1 Team,10.0,0 days 00:01:20.933000,SOFT,4.0,1,True,80.933,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:20.933
NOR,McLaren,2.0,0 days 00:01:19.911000,SOFT,1.0,1,True,79.911,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:19.911
NOR,McLaren,5.0,0 days 00:01:19.727000,SOFT,2.0,1,True,79.727,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:19.727
NOR,McLaren,8.0,0 days 00:01:19.401000,SOFT,3.0,1,True,79.401,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:19.401
