Driver,Team,LapNumber,LapTime,Compound,Stint,TrackStatus,IsAccurate,LapTimeSeconds,Year,Track,Session,AirTempC,TrackTempC,Rainfall,TyreAgeLaps,SessionProgress,LapTimeFormatted,FuelKg,EstimatedCarWeightKg,CompoundEffect,Intensity,TyreAgeEffect,EstimatedTyreTempC
HAM,Mercedes,11.0,0 days 00:01:19.989000,SOFT,4.0,1,True,79.989,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:19.989,10.0,808.0,8,0.48348878245525934,0.0,59.631312441567
HAM,Mercedes,14.0,0 days 00:01:19.601000,SOFT,5.0,1,True,79.601,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:19.601,10.0,808.0,8,0.8747164103856921,0.0,61.97867820914959
HAM,Mercedes,17.0,0 days 00:01:19.513000,SOFT,6.0,1,True,79.513,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:19.513,10.0,808.0,8,0.9634484497101128,0.0,62.51107044509612
HUL,Haas F1 Team,2.0,0 days 00:01:20.781000,SOFT,1.0,1,True,80.781,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.781,10.0,808.0,8,-0.31509957146458406,0.0,54.83978231804794
HUL,Haas F1 Team,5.0,0 days 00:01:21.278000,SOFT,2.0,12,True,81.278,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:21.278,10.0,808.0,8,-0.8162339299218584,0.0,51.83297616730429
HUL,Haas F1 Team,8.0,0 days 00:01:20.434000,SOFT,3.0,1,True,80.434,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:20.434,10.0,808.0,8,0.03478699268969856,0.0,56.93910170297363
HUL,Haas F1 Team,11.0,0 days 00:01:20.411000,SOFT,4.0,1,True,80.411,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:20.411,10.0,808.0,8,0.057978321149488046,0.0,57.078249673732365
HUL,Haas F1 Team,14.0,0 days 00:01:20.482000,SOFT,5.0,1,True,80.482,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:20.482,10.0,808.0,8,-0.013612301487263381,0.0,56.648705937911856
HUL,Haas F1 Team,17.0,0 days 00:01:20.339000,SOFT,6.0,1,True,80.339,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:20.339,10.0,808.0,8,0.13057726241493095,0.0,57.51384332132503
LEC,Ferrari,2.0,0 days 00:01:20.074000,SOFT,1.0,1,True,80.074,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.074,10.0,808.0,8,0.3977816990168988,0.0,59.11706994093683
LEC,Ferrari,5.0,0 days 00:01:20.278000,SOFT,2.0,1,True,80.278,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.278,10.0,808.0,8,0.19208469876481055,0.0,57.8828879394243
LEC,Ferrari,8.0,0 days 00:01:20.296000,SOFT,3.0,1,True,80.296,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:20.296,10.0,808.0,8,0.1739349634484498,0.0,57.77398952752614
LEC,Ferrari,11.0,0 days 00:01:20.007000,SOFT,4.0,1,True,80.007,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:20.007,10.0,808.0,8,0.4653390471388986,0.0,59.52241402966883
LEC,Ferrari,14.0,0 days 00:01:20.076000,SOFT,5.0,1,True,80.076,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:20.076,10.0,808.0,8,0.39576506175953013,0.0,59.10497011739262
LEC,Ferrari,17.0,0 days 00:01:19.704000,SOFT,6.0,1,True,79.704,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:19.704,10.0,808.0,8,0.7708595916309708,0.0,61.355537296621264
LEC,Ferrari,20.0,0 days 00:01:19.461000,SOFT,7.0,1,True,79.461,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:19.461,10.0,808.0,8,1.0,0.0,62.73037974683544
MAG,Haas F1 Team,2.0,0 days 00:01:20.856000,SOFT,1.0,1,True,80.856,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.856,10.0,808.0,8,-0.39072346861607277,0.0,54.386038935139005
MAG,Haas F1 Team,7.0,0 days 00:01:20.698000,SOFT,3.0,1,True,80.698,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:20.698,10.0,808.0,8,-0.2314091252835778,0.0,55.34192499513397
MAG,Haas F1 Team,10.0,0 days 00:01:20.933000,SOFT,4.0,1,True,80.933,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:20.933,10.0,808.0,8,-0.46836400302495873,0.0,53.920195728685684
NOR,McLaren,2.0,0 days 00:01:19.911000,SOFT,1.0,1,True,79.911,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:19.911,10.0,808.0,8,0.5621376354928225,0.0,60.10320555979237
NOR,McLaren,5.0,0 days 00:01:19.727000,SOFT,2.0,1,True,79.727,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:19.727,10.0,808.0,8,0.7476682631711671,0.0,61.216389325862444
NOR,McLaren,8.0,0 days 00:01:19.401000,SOFT,3.0,1,True,79.401,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:19.401,10.0,808.0,8,1.0,0.0,62.73037974683544
NOR,McLaren,11.0,0 days 00:01:19.327000,SOFT,4.0,1,True,79.327,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:19.327,10.0,808.0,8,1.0,0.0,62.73037974683544
OCO,Alpine,2.0,0 days 00:01:21.346000,SOFT,1.0,1,True,81.346,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:21.346,10.0,808.0,8,-0.8847995966725497,0.0,51.42158216680014
OCO,Alpine,5.0,0 days 00:01:20.764000,SOFT,2.0,1,True,80.764,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.764,10.0,808.0,8,-0.29795815477690046,0.0,54.94263081817404
OCO,Alpine,10.0,0 days 00:01:36.883000,SOFT,4.0,1,True,96.883,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:36.883,10.0,808.0,8,-1.0,0.0,50.73037974683544
OCO,Alpine,11.0,0 days 00:01:20.884000,SOFT,4.0,1,True,80.884,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,1,Mid,1:20.884,10.0,808.0,8,-0.4189563902193053,0.6,54.81664140551961
